team,conf,fg_pct,fg_pct_rk,ft_pct,ft_pct_rk,fg2_pct,fg2_pct_rk,fg3_pct,fg3_pct_rk,ts_pct,ts_pct_rk,ast_rate,ast_rate_rk,fg3_rate,fg3_rate_rk,to_rate,to_rate_rk,ft_rate,ft_rate_rk,orb_rate,orb_rate_rk
North Carolina,ACC,0.3711426188490409,38,0.712166172106825,195,0.4044213263979194,33,0.3116279069767442,176,0.4690932842467787,73,0.5640449438202247,220,0.3586321934945788,274,0.2076128637636154,117,0.2810675562969141,175,0.27353689567430023,58
Wake Forest,ACC,0.4333627537511033,292,0.7407407407407407,292,0.46954314720812185,237,0.3507246376811594,305,0.5293450568570186,304,0.5091649694501018,88,0.30450132391879964,107,0.1900040265753976,207,0.30979699911738745,253,0.3394216133942161,271
North Dakota,Sum,0.4049586776859504,174,0.711764705882353,192,0.45362318840579713,183,0.3208020050125313,215,0.5054093331180365,225,0.5419501133786848,161,0.36639118457300274,294,0.18060333421540092,257,0.3122130394857668,259,0.3284241531664212,238
Creighton,BE,0.4,154,0.7066246056782335,168,0.4448621553884712,153,0.28338762214983715,56,0.48012021085111856,109,0.5769230769230769,247,0.27782805429864255,41,0.16392561539288403,322,0.2868778280542986,191,0.2719424460431655,55
Nebraska,B10,0.3951473136915078,134,0.7290322580645161,244,0.4661016949152542,227,0.2825112107623318,54,0.48977061376317416,151,0.5416666666666666,160,0.38648180242634317,331,0.1819449727399518,249,0.268630849220104,143,0.24021592442645073,11
Dartmouth,Ivy,0.37910798122065725,61,0.6864406779661016,90,0.4110320284697509,41,0.31724137931034485,198,0.45302681653243654,30,0.5727554179566563,241,0.3403755868544601,212,0.1811725487354156,256,0.13849765258215962,2,0.3182674199623352,201
New Hampshire,AE,0.4095904095904096,192,0.7346938775510204,266,0.48148148148148145,277,0.315668202764977,191,0.5188612477440815,274,0.624390243902439,325,0.43356643356643354,356,0.2510998038903906,11,0.2937062937062937,213,0.29838709677419356,132
Fairleigh Dickinson,NEC,0.4134078212290503,217,0.7992831541218638,343,0.45369127516778524,184,0.3221884498480243,220,0.508456164978776,241,0.5540540540540541,198,0.3063314711359404,115,0.1779139418585481,272,0.25977653631284914,117,0.32445141065830724,221
Princeton,Ivy,0.3930084745762712,126,0.6942446043165468,115,0.4026745913818722,30,0.36900369003690037,325,0.48531397704253887,138,0.49056603773584906,57,0.2870762711864407,60,0.22804274172530625,52,0.2944915254237288,217,0.2972972972972973,128
Rutgers,B10,0.42299503193754434,254,0.7062780269058296,165,0.47516198704103674,263,0.32298136645962733,223,0.5154992399890359,264,0.6375838926174496,334,0.34279630943931866,221,0.1722324209484128,299,0.31653655074520937,265,0.3352534562211982,260
New Mexico St.,CUSA,0.3973362930077691,145,0.6448598130841121,10,0.4682274247491639,233,0.25742574257425743,10,0.4802156892846177,110,0.4972067039106145,66,0.3362930077691454,199,0.23826229316494182,29,0.3562708102108768,326,0.3128390596745027,187
New Mexico,MWC,0.3816,71,0.681592039800995,73,0.42362002567394097,79,0.31210191082802546,179,0.46247870655389856,57,0.5681341719077568,227,0.3768,313,0.16889794093539653,304,0.1608,4,0.2531486146095718,24
Columbia,Ivy,0.4018957345971564,161,0.7379310344827587,280,0.44097693351424694,137,0.3113207547169811,174,0.49086757990867586,154,0.6061320754716981,300,0.3014218009478673,94,0.20288487462928015,134,0.27488151658767773,156,0.3051643192488263,158
Cornell,Ivy,0.4311740890688259,283,0.7173144876325088,217,0.4954128440366973,309,0.30538922155688625,145,0.5199906518534498,279,0.6220657276995305,320,0.33805668016194335,206,0.18943257657447615,209,0.28643724696356276,189,0.346483704974271,281
St. Bonaventure,A10,0.4356955380577428,300,0.6713780918727915,43,0.4747191011235955,261,0.37122969837587005,329,0.5309580913910629,309,0.54216867469879515,162,0.37707786526684167,315,0.19292973028041668,184,0.24759405074365703,86,0.30415430267062316,152
Syracuse,ACC,0.3934030571198713,127,0.6958174904942965,118,0.43227326266195526,112,0.3096446700507614,165,0.47213553933113517,83,0.5971370143149284,284,0.3169750603378922,151,0.199207883445707,157,0.21158487530168946,25,0.31417624521072796,190
Bowling Green,MAC,0.4271310724106325,266,0.7659574468085106,332,0.4693042291950887,236,0.3407821229050279,280,0.5225993350232084,285,0.5536480686695279,197,0.3281393217231897,173,0.16779902471097474,310,0.25847846012832265,113,0.3050847457627119,156
Miami OH,MAC,0.41193737769080235,212,0.692063492063492,106,0.4731369150779896,254,0.3325842696629214,259,0.5204204721695675,280,0.6223277909738717,321,0.4354207436399217,357,0.20156851953769953,143,0.3082191780821918,249,0.38161993769470404,339
Ohio St.,B10,0.4030937215650591,165,0.7329192546583851,260,0.45794392523364486,197,0.2857142857142857,61,0.4924718702646935,161,0.5056433408577878,81,0.3184713375796178,154,0.23588391801340164,34,0.2929936305732484,211,0.3053097345132743,159
Ohio,MAC,0.4160516605166052,232,0.6982758620689655,132,0.49333333333333335,305,0.2885085574572127,70,0.5104597775478531,252,0.5831485587583148,258,0.3773062730627306,317,0.24891932585361118,14,0.3210332103321033,274,0.40746268656716417,352
Oklahoma St.,B12,0.41135371179039304,204,0.7251461988304093,237,0.47058823529411764,240,0.29974811083123426,115,0.5052181430821009,223,0.5116772823779193,91,0.3467248908296943,235,0.19758683910608987,164,0.2986899563318777,230,0.2746478873239437,62
Oral Roberts,Sum,0.4590316573556797,341,0.7067901234567902,169,0.5382436260623229,349,0.3070652173913043,152,0.5458012757282831,338,0.592292089249493,272,0.3426443202979516,219,0.21184793594029389,106,0.3016759776536313,235,0.34308943089430893,275
Oklahoma,B12,0.3817891373801917,75,0.6970588235294117,122,0.4226457399103139,76,0.28055555555555556,46,0.461615296803653,52,0.4121338912133891,5,0.28753993610223644,62,0.19104236407710956,203,0.2715654952076677,149,0.2965686274509804,124
Tulsa,Amer,0.3634393063583815,19,0.7464788732394366,298,0.3991683991683992,23,0.28199052132701424,50,0.451240098688482,25,0.42147117296222664,9,0.30491329479768786,109,0.1566093527543533,340,0.2565028901734104,102,0.30506607929515417,155
Oregon St.,P12,0.34590163934426227,5,0.759656652360515,319,0.3742690058479532,3,0.27945205479452057,45,0.42456824849529684,5,0.44075829383886256,14,0.29918032786885246,87,0.120968813973892,358,0.19098360655737706,11,0.244640605296343,14
Penn St.,B10,0.4066390041493776,186,0.7460732984293194,296,0.4460260972716489,157,0.3149171270718232,189,0.5021557374661345,207,0.5510204081632653,185,0.3004149377593361,93,0.2295070928353385,47,0.31701244813278007,266,0.288021534320323,99
Temple,Amer,0.39357798165137614,128,0.7263681592039801,239,0.4396887159533074,133,0.28213166144200624,52,0.48939126041929776,149,0.5897435897435898,269,0.2926605504587156,71,0.24088011121231004,24,0.3688073394495413,333,0.3419170243204578,274
Penn,Ivy,0.42452830188679247,258,0.7489539748953975,306,0.4747634069400631,262,0.325,232,0.5159749235243022,266,0.6,289,0.33542976939203356,195,0.17968338548282164,264,0.25052410901467503,96,0.30782608695652175,169
Pittsburgh,ACC,0.40234375,164,0.7450331125827815,295,0.4365482233502538,123,0.3475609756097561,297,0.5046429986976955,217,0.6407766990291263,335,0.384375,329,0.17850082563899805,267,0.2359375,68,0.30012610340479196,134
Villanova,BE,0.3913808267370273,114,0.7372262773722628,278,0.42053789731051344,69,0.3166144200626959,195,0.4743312446324629,91,0.5123595505617977,94,0.2805628847845207,50,0.19570723221366626,174,0.24098504837291118,74,0.3277310924369748,235
