game_time,home_id,away_id,net_rk_home,team_home,net_rk_away,team_away,home_pts_est,away_pts_est,poss_est,est_diff,quality,competitiveness,home_pts_clean,away_pts_clean,final_score_proj
10:30 EDT,2439,21,10,UNLV,147,San Diego St.,73.28434185880177,60.54579174577727,69.5499193548387,12.738550113024495,78.69986168741356,49.04579954790202,73,61,73-61
05:00 EDT,331,2464,59,Eastern Washington,114,Northern Arizona,70.05281630608756,63.99117990081431,70.37044354838709,6.061636405273255,76.48686030428769,75.75345437890698,70,64,70-64
07:00 EDT,151,242,104,East Carolina,95,Rice,68.0158392030813,65.67601582024086,72.99125,2.339823382840436,72.89073305670816,90.64070646863826,68,66,68-66
12:30 EDT,2393,2638,16,Middle Tennessee,245,UTEP,71.48220858066134,57.6893374142188,66.57209523809526,13.792871166442538,64.31535269709543,44.82851533422985,71,58,71-58
11:00 EDT,2649,2711,36,Toledo,243,Western Michigan,69.66181791780515,57.72603245668719,67.85000000000001,11.935785461117959,61.82572614107884,52.256858155528164,70,58,70-58
02:30 EDT,357,2545,141,Texas A&M Corpus Chris,166,Southeastern Louisiana,65.6493356569308,62.055129398204926,71.66328888888889,3.594206258725876,57.952973720608576,85.6231749650965,66,62,66-62
03:00 EDT,2335,98,146,Liberty,181,Western Kentucky,65.8239862846439,62.10746161456774,67.43475862068966,3.7165246700761543,55.18672199170125,85.13390131969538,66,62,66-62
06:30 EDT,2309,2459,94,Kent St.,244,Northern Illinois,71.08986101629665,62.76063347985571,70.87442970822282,8.32922753644094,53.665283540802214,66.68308985423624,71,63,71-63
04:00 EDT,2050,195,50,Ball St.,289,Ohio,76.70731589560933,62.639684598599324,75.85411494252874,14.067631297010003,53.52697095435685,43.72947481195999,77,63,77-63
01:00 EDT,2217,2520,30,Fairfield,313,Rider,70.83314689233283,55.4439242033952,67.46476190476189,15.389222688937636,52.973720608575384,38.443109244249456,71,55,71-55
01:30 EDT,2084,189,162,Buffalo,185,Bowling Green,66.83055329174265,63.44142174115266,67.09330049261082,3.389131550589987,52.42047026279392,86.44347379764005,67,63,67-63
12:00 EDT,2320,2837,103,Lamar,275,Texas A&M Commerce,73.2624211569114,64.1101247863243,71.34395604395606,9.152296370587095,48.13278008298755,63.39081451765162,73,64,73-64
03:30 EDT,315,2514,160,Niagara,236,Quinnipiac,75.64449224856818,69.38854961277052,78.56533333333336,6.255942635797666,45.643153526970956,74.97622945680934,76,69,76-69
06:30 EDT,2296,2504,84,Jackson St.,341,Prairie View A&M,75.84119046362284,61.07799442673587,73.12393846153846,14.763196036886967,41.632088520055326,40.94721585245213,76,61,76-61
05:30 EDT,2540,299,213,UC Santa Barbara,218,Long Beach St.,69.73861114998806,66.656536585403,72.70152709359606,3.0820745645850565,40.80221300138313,87.67170174165977,70,67,70-67
12:00 EDT,2450,2569,79,Norfolk St.,359,South Carolina St.,68.64983301702209,51.553951840322604,65.43364532019704,17.095881176699486,39.83402489626556,31.616475293202058,69,52,69-52
05:30 EDT,2000,2627,158,Abilene Christian,283,Tarleton St.,68.39936696934545,61.24687700297194,68.62142857142858,7.152489966373508,39.41908713692946,71.39004013450597,68,61,68-61
03:00 EDT,302,2239,200,UC Davis,258,Cal St. Fullerton,63.860350849290946,59.16027556372763,66.09285714285714,4.700075285563315,37.06777316735823,81.19969885774674,64,59,64-59
03:00 EDT,250,253,193,UT Arlington,282,Southern Utah,74.40316594030034,67.96364203570825,73.00304761904762,6.439523904592093,34.716459197787,74.24190438163163,74,68,74-68
02:00 EDT,47,2415,208,Howard,325,Morgan St.,64.84854308515898,57.35625989038941,68.78322751322749,7.49228319476957,26.694329183955745,70.03086722092172,65,57,65-57
12:00 EDT,2755,50,221,Grambling St.,333,Florida A&M,76.19386505585311,67.60120048134048,78.78419098143236,8.592664574512625,23.789764868603044,65.6293417019495,76,68,76-68
02:00 EDT,2261,2275,335,Hampton,281,Hofstra,61.47990561148432,62.61697421283502,69.34285714285714,0.13706860135069832,15.214384508990321,99.4517255945972,61,63,61-63
04:30 EDT,111,350,304,Northeastern,355,UNC Wilmington,67.43442020707795,60.11752164772472,68.70811428571427,7.316898559353227,9.266943291839567,70.73240576258709,67,60,67-60
